Location,Population_Density
Barking and Dagenham,5600
Barnet,4400
Bexley,3300
Brent,7900
Bromley,2400
Camden,10500
City of London,3600
Croydon,4200
Ealing,6200
Enfield,3900
Greenwich,4800
Hackney,14000
Hammersmith and Fulham,11200
Haringey,8800
Harrow,4600
Havering,2600
Hillingdon,3200
Hounslow,5100
Islington,15500
Kensington and Chelsea,12800
Kingston upon Thames,4100
Lambeth,12500
Lewisham,9100
Merton,5700
Newham,9800
Redbridge,5900
Richmond upon Thames,3700
Southwark,11000
Sutton,4000
Tower Hamlets,15200
Waltham Forest,7300
Wandsworth,10800
Westminster,12000
